Word       Frequency       Frequency in percentage
love           540                 14.38%            
laugh          360                 9.58%             
alumi          270                 7.19%             
lili           270                 7.19%             
lora           90                  2.40%             
aloki          90                  2.40%             
Halcyon        72                  1.92%             
Aurora         48                  1.28%             
Mellifluous    48                  1.28%             
Celestial      48                  1.28%             
Incandescent   48                  1.28%             
Epiphany       48                  1.28%             
Ineffable      48                  1.28%             
Lilt           48                  1.28%             
Serendipity    24                  0.64%             
Euphoria       24                  0.64%             
Ethereal       24                  0.64%             
Luminous       24                  0.64%             
Eloquence      24                  0.64%             
Serenity       24                  0.64%             
Graceful       24                  0.64%             
Velvet         24                  0.64%             
Tranquility    24                  0.64%             
Luminescence   24                  0.64%             
Enchantment    24                  0.64%             
Opulent        24                  0.64%             
Ebullience     24                  0.64%             
Blissful       24                  0.64%             
Twilight       24                  0.64%             
Symphony       24                  0.64%             
Resplendent    24                  0.64%             
Amethyst       24                  0.64%             
Effervescence  24                  0.64%             
Cynosure       24                  0.64%             
Diaphanous     24                  0.64%             
Imbue          24                  0.64%             
Labyrinthine   24                  0.64%             
Lavender       24                  0.64%             
Melancholy     24                  0.64%             
Meridian       24                  0.64%             
Nexus          24                  0.64%             
Oblivion       24                  0.64%             
Panacea        24                  0.64%             
Paragon        24                  0.64%             
Petrichor      24                  0.64%             
Quintessential 24                  0.64%             
Radiance       24                  0.64%             
Reverie        24                  0.64%             
Sempiternal    24                  0.64%             
Solitude       24                  0.64%             
Sonorous       24                  0.64%             
Sumptuous      24                  0.64%             
Tempestuous    24                  0.64%             
Utopia         24                  0.64%             
Vagary         24                  0.64%             
Vestige        24                  0.64%             
Vivacity       24                  0.64%             
Whimsy         24                  0.64%             
Xenial         24                  0.64%             
Zephyr         24                  0.64%             
Alacrity       24                  0.64%             
Anticipation   24                  0.64%             
Beguilement    24                  0.64%             
Breathtaking   24                  0.64%             
Chrysalis      24                  0.64%             
Comely         24                  0.64%             
Conflate       24                  0.64%             
Coquette       24                  0.64%             
Demure         24                  0.64%             
Denouement     24                  0.64%             
Desuetude      24                  0.64%             
Efflorescence  24                  0.64%             
Ephemeral      24                  0.64%             
Evanescent     24                  0.64%             
Exquisite      24                  0.64%             
Felicity       24                  0.64%             
Gossamer       24                  0.64%             
Hiraeth        24                  0.64%             
Imbroglio      24                  0.64%             
Iridescent     24                  0.64%             
Languor        24                  0.64%             
Lissome        24                  0.64%             
Mirthful       24                  0.64%             
Nocturne       24                  0.64%             
Offing         24                  0.64%             
On             24                  0.64%             
